nodes,type,file,op,calls,ASD,self avg,self max,time avg,time max
1024,cosma-gpu,PizDaint-gpu-cosma-gpu-1024-27870118.out,CP2K,1,1.0,0.058,0.069,175,175
128,cosma-gpu,PizDaint-gpu-cosma-gpu-128-27869720.out,CP2K,1,1.0,0.024,0.027,728.232,728.234
256,cosma-gpu,PizDaint-gpu-cosma-gpu-256-27870119.out,CP2K,1,1.0,0.027,0.031,449.279,449.281
512,cosma-gpu,PizDaint-gpu-cosma-gpu-512-27870120.out,CP2K,1,1.0,0.029,0.038,287.190,287.191
1024,cosma-mkl,PizDaint-gpu-cosma-mkl-1024-27870121.out,CP2K,1,1.0,0.085,0.097,396.416,396.422
128,cosma-mkl,PizDaint-gpu-cosma-mkl-128-27870122.out,CP2K,1,1.0,0.026,0.030,2271.134,2271.153
256,cosma-mkl,PizDaint-gpu-cosma-mkl-256-27870123.out,CP2K,1,1.0,0.026,0.032,1180.804,1180.825
512,cosma-mkl,PizDaint-gpu-cosma-mkl-512-27870126.out,CP2K,1,1.0,0.030,0.040,630.110,630.114
1024,cray-libsci,PizDaint-gpu-cray-libsci-1024-27870149.out,CP2K,1,1.0,0.056,0.069,548.894,548.901
128,cray-libsci,PizDaint-gpu-cray-libsci-128-27870146.out,CP2K,1,1.0,0.890,1.045,6399.715,6399.741
256,cray-libsci,PizDaint-gpu-cray-libsci-256-27870141.out,CP2K,1,1.0,0.027,0.034,1548.072,1548.110
512,cray-libsci,PizDaint-gpu-cray-libsci-512-27870139.out,CP2K,1,1.0,0.031,0.041,925.838,925.846
1024,libsci_acc,PizDaint-gpu-cray-libsci_acc-1024-27870137.out,CP2K,1,1.0,0.060,0.074,289.731,289.733
128,libsci_acc,PizDaint-gpu-cray-libsci_acc-128-27882376.out,CP2K,1,1.0,0.025,0.029,1275.498,1275.510
256,libsci_acc,PizDaint-gpu-cray-libsci_acc-256-27885536.out,CP2K,1,1.0,0.030,0.037,751.726,751.760
1024,mkl,PizDaint-gpu-mkl-1024-27870131.out,CP2K,1,1.0,0.108,0.119,418.364,418.380
128,mkl,PizDaint-gpu-mkl-128-27870130.out,CP2K,1,1.0,0.027,0.032,2345.846,2345.861
256,mkl,PizDaint-gpu-mkl-256-27870128.out,CP2K,1,1.0,0.027,0.033,1240.071,1240.073
512,mkl,PizDaint-gpu-mkl-512-27870127.out,CP2K,1,1.0,0.030,0.038,697.729,697.731
1024,cosma-gpu,PizDaint-gpu-cosma-gpu-1024-27870118.out,cp_gemm,46,9.7,0.000,0.000,75,75
128,cosma-gpu,PizDaint-gpu-cosma-gpu-128-27869720.out,cp_gemm,46,9.7,0.000,0.000,255.053,262.128
256,cosma-gpu,PizDaint-gpu-cosma-gpu-256-27870119.out,cp_gemm,46,9.7,0.000,0.000,204.251,206.125
512,cosma-gpu,PizDaint-gpu-cosma-gpu-512-27870120.out,cp_gemm,46,9.7,0.000,0.000,131.273,132.594
1024,cosma-mkl,PizDaint-gpu-cosma-mkl-1024-27870121.out,cp_gemm,46,9.7,0.000,0.000,278.386,279.201
128,cosma-mkl,PizDaint-gpu-cosma-mkl-128-27870122.out,cp_gemm,46,9.7,0.000,0.000,1785.334,1792.289
256,cosma-mkl,PizDaint-gpu-cosma-mkl-256-27870123.out,cp_gemm,46,9.7,0.000,0.000,932.837,934.546
512,cosma-mkl,PizDaint-gpu-cosma-mkl-512-27870126.out,cp_gemm,46,9.7,0.000,0.000,483.366,484.624
1024,cray-libsci,PizDaint-gpu-cray-libsci-1024-27870149.out,cp_gemm,46,9.7,0.000,0.000,419.030,419.840
128,cray-libsci,PizDaint-gpu-cray-libsci-128-27870146.out,cp_gemm,46,9.7,0.002,0.019,5924.125,5924.530
256,cray-libsci,PizDaint-gpu-cray-libsci-256-27870141.out,cp_gemm,46,9.7,0.000,0.000,1256.212,1256.514
512,cray-libsci,PizDaint-gpu-cray-libsci-512-27870139.out,cp_gemm,46,9.7,0.000,0.000,744.835,745.030
1024,libsci_acc,PizDaint-gpu-cray-libsci_acc-1024-27870137.out,cp_gemm,46,9.7,0.000,0.000,121.911,124.599
128,libsci_acc,PizDaint-gpu-cray-libsci_acc-128-27882376.out,cp_gemm,46,9.7,0.000,0.000,519.479,519.946
256,libsci_acc,PizDaint-gpu-cray-libsci_acc-256-27885536.out,cp_gemm,46,9.7,0.000,0.000,338.023,338.322
1024,mkl,PizDaint-gpu-mkl-1024-27870131.out,cp_gemm,46,9.7,0.000,0.000,297.373,300.133
128,mkl,PizDaint-gpu-mkl-128-27870130.out,cp_gemm,46,9.7,0.000,0.000,1865.803,1878.464
256,mkl,PizDaint-gpu-mkl-256-27870128.out,cp_gemm,46,9.7,0.000,0.000,990.691,995.325
512,mkl,PizDaint-gpu-mkl-512-27870127.out,cp_gemm,46,9.7,0.000,0.000,551.803,556.496
